#separator:comma
#html:true
#notetype:COCA-English
#deck column:1
#tags column:13
LEP-English::P02,Word,UUID,UID,Part of Speech,Grammar,Pronunciation/IPA,Audio Link,Definition,Example 1,Example 2,Example 3,Tags
LEP-English::P02,over-egg the pudding,8f4e1a2b,1,phrasal verb,idiom,/ˌəʊvərˈeɡ/,,"To exaggerate or overdo something","It's tiring but I'm not going to over-egg that","Don't over-egg the pudding when describing the challenges","She tends to over-egg her achievements",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,etiquette minefield,9d2c3b4a,2,noun phrase,,/ˈetɪkət ˈmaɪnfiːld/,,"A social situation where it's easy to make mistakes or cause offense","Talking about parenting is an etiquette minefield","The office party was an etiquette minefield","Cultural differences can create an etiquette minefield",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,downplay,7e5f8d2c,3,verb,phrasal verb,/ˌdaʊnˈpleɪ/,,"To minimize the importance or significance of something","You don't want to downplay any of the good stuff","She tends to downplay her achievements","The company tried to downplay the incident",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,common ground,6a9b0c3d,4,noun phrase,,/ˌkɒmən ˈɡraʊnd/,,"Shared interests, beliefs, or opinions between people","You find common ground with other parents","We managed to find some common ground despite our differences","Finding common ground is essential in negotiations",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,put a downer on,5d7e2f1a,5,phrasal verb,informal,/pʊt ə ˈdaʊnər ɒn/,,"To make something seem more negative or less enjoyable","Don't put a downer on their joy","She always puts a downer on everything","I don't mean to put a downer on the celebration",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,doom and gloom,4b8c1d2e,6,noun phrase,idiom,/duːm ænd ɡluːm/,,"Extreme pessimism or negativity","You don't want to be one of those doom and gloom people","The economic forecast was all doom and gloom","Let's have less doom and gloom and more optimism",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,nauseating,3a6b9c1d,7,adjective,,/ˈnɔːzieɪtɪŋ/,,"So extreme as to cause disgust or revulsion","You don't want to be a nauseating parent","Their public displays of affection were nauseating","The smell was absolutely nauseating",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,play it safe,2c4d7e8f,8,phrasal verb,idiom,/pleɪ ɪt seɪf/,,"To avoid taking risks; to act cautiously","Just play it safe when discussing sensitive topics","She decided to play it safe with her investment","I usually play it safe when trying new foods",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,sugarcoat,1b2c3d4e,9,verb,,/ˈʃʊɡəkəʊt/,,"To make something unpleasant seem more appealing or positive","It's hard to work out if people are sugarcoating things","Don't sugarcoat the truth","The boss tried to sugarcoat the bad news",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,show off,0a1b2c3d,10,phrasal verb,,/ʃəʊ ɒf/,,"To boast or display one's abilities or achievements in a way that others find annoying","You don't want to be seen as a show off","He's always showing off his new car","Stop showing off and let others speak",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,put yourself down,9e8d7c6b,11,phrasal verb,,/pʊt jɔːˈself daʊn/,,"To criticize or belittle oneself","Putting yourself down is somehow an act of kindness","Stop putting yourself down, you're doing great","British people often put themselves down",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,put a negative slant on,8f7e6d5c,12,phrasal verb,,/pʊt ə ˈneɡətɪv slɑːnt ɒn/,,"To present something in a more negative way than necessary","In the UK we say things are just not too bad, putting a negative slant on things","The media put a negative slant on the story","Try not to put a negative slant on everything",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,self-effacing,7d6e5f4c,13,adjective,,/ˌselfɪˈfeɪsɪŋ/,,"Tending to make oneself seem less important","British people often use self-effacing humor","Her self-effacing manner made everyone feel comfortable","He was known for his self-effacing wit",LEP-English::2022.06.01 LEP-English::P02
LEP-English::P02,butt of the joke,6c5d4e3b,14,noun phrase,idiom,/bʌt əv ðə dʒəʊk/,,"The target or victim of a joke or mockery","Making yourself the butt of the joke","He always ends up being the butt of the joke","Don't make others the butt of your jokes",LEP-English::2022.06.01 LEP-English::P02
