#separator:comma
#html:true
#notetype:COCA-English
#deck column:1
#tags column:13
"LEP-English::P-EP536-R","consolidate","uuid-placeholder-1","uid-placeholder-1","verb",""," /kənˈsɒlɪdeɪt/","","to combine several things, especially ideas or arguments, into a single, more effective whole.","The aim here is to consolidate the bits of wisdom, advice and experience that we got from Olly.","The two companies consolidated to form a single corporation.","She consolidated her position as the team's leader.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","proven track record","uuid-placeholder-2","uid-placeholder-2","noun phrase",""," /ˈpruːvən træk ˈrekɔːd/","","a history of success in a particular area.","Olly has a proven track record for learning languages.","The company has a proven track record of innovation.","We are looking for a candidate with a proven track record in sales.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","insights","uuid-placeholder-3","uid-placeholder-3","noun","plural"," /ˈɪnsaɪts/","","a clear, deep, and sometimes sudden understanding of a complicated problem or situation.","This episode of the podcast was full of Olly's insights.","The book is full of fascinating insights into human behaviour.","Her research provides some valuable insights into the problem.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","make the most of","uuid-placeholder-4","uid-placeholder-4","idiom",""," /meɪk ðə məʊst əv/","","to use or enjoy something as much as possible.","Consider how you can make the most of LEP as a resource for learning English properly.","It's a beautiful day, let's make the most of it.","She made the most of her opportunities at the new company.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","resonated with","uuid-placeholder-5","uid-placeholder-5","verb",""," /ˈrezəneɪtɪd wɪð/","","to be understood or appreciated by someone; to evoke a feeling of shared emotion or belief.","Learning through stories has resonated with people.","His speech resonated with many of the voters.","The themes in the novel resonated with my own experiences.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","from scratch","uuid-placeholder-6","uid-placeholder-6","idiom",""," /frəm skrætʃ/","","from the very beginning, without using anything that already exists.","He's going to start learning Italian from scratch through a story-based method.","I baked the cake from scratch.","She built her business from scratch.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","compelling","uuid-placeholder-7","uid-placeholder-7","adjective",""," /kəmˈpelɪŋ/","","very exciting and interesting and making you want to watch or listen.","You need compelling material.","It's a compelling story.","He made a compelling argument for his case.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","instant gratification","uuid-placeholder-8","uid-placeholder-8","noun phrase",""," /ˈɪnstənt ˌgrætɪfɪˈkeɪʃn/","","the desire to experience pleasure or fulfillment without delay or deferment.","But people want instant gratification and instant results.","Social media provides instant gratification with likes and comments.","He has no patience and is always seeking instant gratification.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","subtle","uuid-placeholder-9","uid-placeholder-9","adjective",""," /ˈsʌtl/","","not obvious or easy to notice.","Progress takes place over a longer period, in subtle ways that you don't notice.","There are subtle differences between the two versions.","She has a subtle sense of humour.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","go over","uuid-placeholder-10","uid-placeholder-10","phrasal verb",""," /gəʊ ˈəʊvə(r)/","","to study, review, or examine something carefully.","Read, listen, go over material lots of times.","Let's go over the plan one more time.","She went over her notes before the exam.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","keep up","uuid-placeholder-11","uid-placeholder-11","phrasal verb",""," /kiːp ʌp/","","to continue to do something.","Keep this up day after day, week after week.","You're doing great, keep it up!","It's hard to keep up the motivation to exercise every day.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","consequence","uuid-placeholder-12","uid-placeholder-12","noun",""," /ˈkɒnsɪkwəns/","","a result of a particular action or situation, often one that is bad or not convenient.","Speaking is a consequence of input.","The accident was a tragic consequence of his carelessness.","He must face the consequences of his actions.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","curates","uuid-placeholder-13","uid-placeholder-13","verb",""," /kjʊəˈreɪts/","","to select, organize, and present content, merchandise, etc., typically using professional or expert knowledge.","Lingq - a website that curates content, including mini stories for beginners.","She curates the museum's collection of modern art.","The playlist was curated by a famous DJ.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","drawn to","uuid-placeholder-14","uid-placeholder-14","phrasal verb",""," /drɔːn tuː/","","to be attracted to someone or something.","Consume the content that you are normally drawn to in your first language.","I've always been drawn to the sea.","She is drawn to people with a good sense of humour.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","replicate","uuid-placeholder-15","uid-placeholder-15","verb",""," /ˈreplɪkeɪt/","","to make or do something again in exactly the same way.","Stories replicate your own experience.","Researchers tried to replicate the results of the experiment.","It would be difficult to replicate the success of that project.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","genetically incapable","uuid-placeholder-16","uid-placeholder-16","adjective phrase",""," /dʒəˈnetɪkli ɪnˈkeɪpəbl/","","unable to do something because of one's genetic makeup.","At the beginning you will believe that you're genetically incapable of doing it.","Some people are genetically incapable of digesting lactose.","He joked that he was genetically incapable of being tidy.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","hook, line and sinker","uuid-placeholder-17","uid-placeholder-17","idiom",""," /hʊk laɪn ənd ˈsɪŋkə(r)/","","completely; used to emphasize that someone has been completely deceived or tricked.","You have to go hook, line and sinker into the language you're speaking.","He fell for the story hook, line and sinker.","She swallowed his lies hook, line and sinker.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","go all in","uuid-placeholder-18","uid-placeholder-18","idiom",""," /gəʊ ɔːl ɪn/","","to be fully committed to something; to risk everything.","You have to be brave to go all in.","If you want to succeed, you have to go all in.","He went all in on his new business venture.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","breakthrough","uuid-placeholder-19","uid-placeholder-19","noun",""," /ˈbreɪkθruː/","","a sudden, dramatic, and important discovery or development.","It'll be a breakthrough moment.","Scientists have made a major breakthrough in the treatment of cancer.","The new evidence was a breakthrough in the case.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
"LEP-English::P-EP536-R","let your identity slip","uuid-placeholder-20","uid-placeholder-20","idiom",""," /let jɔː(r) aɪˈdentəti slɪp/","","to allow your usual personality or way of behaving to change slightly.","Let your identity slip a bit.","When he spoke French, he let his English identity slip and became more expressive.","Don't be afraid to let your identity slip when you're acting.","LEP-English::2025.08.02 LEP-English::P-EP536-R"
