#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
AllEnglish::LEP::P030,"chunking","","","noun","uncountable","/ˈtʃʌŋkɪŋ/","","Breaking up sentences into smaller pieces to improve delivery.[cite: 9]","Chunking helps you to pause in the right places and add the right intonation.[cite: 9]","Chunking makes a long speech much easier for the audience to follow.","Practicing chunking will significantly improve your public speaking skills.","B2"
AllEnglish::LEP::P030,"chunk","","","noun","count","/tʃʌŋk/","","A piece or section of a sentence separated for pronunciation.[cite: 9]","This means breaking up your sentences into chunks, or pieces.[cite: 9]","Read the first chunk before pausing for a breath.","He memorized the script one chunk at a time.","B2"
AllEnglish::LEP::P030,"presentation","","","noun","count","/ˌprɛzɛnˈteɪʃən/","","A formal talk giving information about something to an audience.[cite: 9]","Imagine you are giving a presentation to quite a large group of people.[cite: 9]","The manager's presentation on marketing was very impressive.","She prepared a short presentation for the board meeting.","B2"
AllEnglish::LEP::P030,"impact","","","noun","count","/ˈɪmpækt/","","A strong effect or influence on someone or something.[cite: 9]","You want it to have an impact on the audience.[cite: 9]","The new policy will have an impact on all employees.","Climate change has a profound impact on the planet.","B2"
AllEnglish::LEP::P030,"impressive","","","adjective","","/ɪmˈprɛsɪv/","","Evoking admiration through quality, size, or skill.[cite: 9]","You want the presentation to be impressive and persuasive.[cite: 9]","Her language skills are truly impressive.","The building's architecture is highly impressive.","B2"
AllEnglish::LEP::P030,"persuasive","","","adjective","","/pəˈsweɪsɪv/","","Good at making someone do or believe something through reasoning.[cite: 9]","You want the presentation to be impressive and persuasive.[cite: 9]","He delivered a highly persuasive argument.","Her essay was very persuasive and well-structured.","C1"
AllEnglish::LEP::P030,"communicate","","","verb","transitive","/kəˈmjuːnɪkeɪt/","","To share or exchange information or ideas clearly.[cite: 9]","You want to communicate your message simply and clearly.[cite: 9]","It is vital to communicate your ideas effectively.","They communicate mostly through email.","B2"
AllEnglish::LEP::P030,"script","","","noun","count","/skrɪpt/","","The written text of a speech, play, or broadcast.[cite: 9]","You've written a script and you're going to read it out.[cite: 9]","The actors spent weeks memorizing the script.","I prefer to speak naturally rather than reading from a script.","B2"
AllEnglish::LEP::P030,"read out","","","verb","phrasal","/riːd aʊt/","","To read something aloud so that others can hear.[cite: 9]","You've written a script and you're going to read it out.[cite: 9]","Please read out the names on the list.","He read out the email to the entire team.","B2"
AllEnglish::LEP::P030,"from memory","","","phrase","","/frɒm ˈmɛməri/","","Without reading or referring to notes.[cite: 9]","You're going to read it out - from memory or from a prompter.[cite: 9]","She recited the entire poem from memory.","I can't play the song from memory yet.","B2"
AllEnglish::LEP::P030,"prompter","","","noun","count","/ˈprɒmptə/","","A device that displays words for a speaker to read.[cite: 9]","You're going to read it out - from memory or from a prompter.[cite: 9]","The politician relied heavily on the teleprompter.","Using a prompter helps maintain eye contact with the camera.","B2"
AllEnglish::LEP::P030,"pause","","","verb","intransitive","/pɔːz/","","To stop speaking for a short time.[cite: 9]","Pause during your speech, or keep talking with no pauses?[cite: 9]","He paused to take a sip of water.","You should pause briefly after asking a rhetorical question.","B2"
AllEnglish::LEP::P030,"break up","","","verb","phrasal","/breɪk ʌp/","","To divide something into smaller pieces or sections.[cite: 9]","Write your script in one paragraph, or break up the text somehow?[cite: 9]","We need to break up this long project into smaller tasks.","The teacher broke up the class into small groups.","B2"
AllEnglish::LEP::P030,"emphasise","","","verb","transitive","/ˈɛmfəsaɪz/","","To give special importance or prominence to something.[cite: 9]","Emphasise certain words in the sentence.[cite: 9]","I want to emphasise the importance of this decision.","She emphasized her point by speaking louder.","B2"
AllEnglish::LEP::P030,"equally","","","adverb","","/ˈiːkwəli/","","In the same manner or to the same extent.[cite: 9]","Emphasise each word equally, or emphasise certain words?[cite: 9]","The prize money was divided equally among the winners.","Both candidates are equally qualified for the job.","B2"
AllEnglish::LEP::P030,"modulate","","","verb","transitive","/ˈmɒdjʊleɪt/","","To change the tone, pitch, or volume of your voice.[cite: 9]","Modulate your intonation or keep the intonation pattern even?[cite: 9]","You must learn to modulate your voice when giving a speech.","The singer modulated her voice beautifully.","C1"
AllEnglish::LEP::P030,"intonation","","","noun","uncountable","/ˌɪntəˈneɪʃən/","","The rise and fall of the voice in speaking.[cite: 9]","Chunking helps you add the right intonation to your speech.[cite: 9]","English intonation patterns can be difficult for learners.","Notice where the intonation goes up and down.","B2"
AllEnglish::LEP::P030,"pattern","","","noun","count","/ˈpætən/","","A repeated or regular way in which something happens or is done.[cite: 9]","Modulate your intonation or keep the intonation pattern even?[cite: 9]","The weather pattern has been very unpredictable lately.","Recognizing the pattern helped them solve the puzzle.","B2"
AllEnglish::LEP::P030,"even","","","adjective","","/ˈiːvən/","","Flat, steady, and without variations in pitch or tone.[cite: 9]","Keep the intonation pattern even.[cite: 9]","He spoke in a calm, even voice despite the crisis.","Make sure the surface is completely even before painting.","B2"
AllEnglish::LEP::P030,"complex","","","adjective","","/ˈkɒmplɛks/","","Consisting of many different and connected parts; not simple.[cite: 9]","Learning English can be a complex process.[cite: 9]","The new software is quite complex to understand.","It was a complex situation that required careful handling.","B2"
AllEnglish::LEP::P030,"process","","","noun","count","/ˈprəʊsɛs/","","A series of actions or steps taken to achieve a particular end.[cite: 9]","Learning English can be a complex process.[cite: 9]","The application process takes about three weeks.","We are in the process of updating our system.","B2"
AllEnglish::LEP::P030,"frustrating","","","adjective","","/frʌsˈtreɪtɪŋ/","","Causing annoyance or upset because of an inability to change or achieve something.[cite: 9]","Sometimes it's a bit frustrating, especially when you feel like you're not making any progress.[cite: 9]","It is frustrating when the internet connection drops constantly.","Dealing with customer service can be incredibly frustrating.","B2"
AllEnglish::LEP::P030,"progress","","","noun","uncountable","/ˈprəʊɡrɛs/","","Forward or onward movement towards a destination or goal.[cite: 9]","Especially when you feel like you're not making any progress.[cite: 9]","The construction workers are making slow but steady progress.","We need to monitor the student's academic progress.","B2"
AllEnglish::LEP::P030,"make progress","","","collocation","","/meɪk ˈprəʊɡrɛs/","","To move forward in one's work or activity.[cite: 9]","Especially when you feel like you're not making any progress.[cite: 9]","I'm finally starting to make progress on my novel.","If we want to make progress, we must work together.","B2"
AllEnglish::LEP::P030,"take time","","","collocation","","/teɪk taɪm/","","To require a certain amount of duration to happen or be completed.[cite: 9]","The important thing to remember is that learning a language takes time.[cite: 9]","Healing from such a major surgery will take time.","Building a successful business takes time and effort.","B2"
AllEnglish::LEP::P030,"patience","","","noun","uncountable","/ˈpeɪʃəns/","","The capacity to accept or tolerate delay, trouble, or suffering without getting angry.[cite: 9]","Learning a language takes time and patience.[cite: 9]","Teaching young children requires a lot of patience.","He quickly lost his patience waiting in the long line.","B2"
AllEnglish::LEP::P030,"frame of mind","","","phrase","","/freɪm ɒv maɪnd/","","A particular mood or state of mind at a certain time.[cite: 9]","A positive frame of mind is essential if you want to succeed.[cite: 9]","You need to be in the right frame of mind to study effectively.","He was in a relaxed frame of mind after his holiday.","C1"
AllEnglish::LEP::P030,"positive","","","adjective","","/ˈpɒzɪtɪv/","","Constructive, optimistic, or confident.[cite: 9]","A positive frame of mind is essential if you want to succeed.[cite: 9]","She has a very positive attitude toward her work.","Try to stay positive even when things get difficult.","B2"
