#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::P55","attend","verb","transitive","/əˈtend/","to go to or be present at some event","About 7 years ago I got an invitation to attend a dinner party at my cousin's house.[cite: 1]","He did not attend the meeting yesterday.","She plans to attend college next year.","B2"
"AllEnglish::LEP::P55","unexpectedly","adverb",""," /ˌʌnɪkˈspektɪdli/","in a way that was not expected or planned","I was surprised that his family unexpectedly invited me over, but I was curious to finally meet them.[cite: 1]","The guests arrived unexpectedly early.","She unexpectedly resigned from her position.","B2"
"AllEnglish::LEP::P55","curious","adjective","","/ˈkjʊəriəs/","eager to know or learn something","I was curious to finally meet them.[cite: 1]","I was curious to find out what had happened.","Cats are naturally curious animals.","B1"
"AllEnglish::LEP::P55","unfamiliar","adjective","","/ˌʌnfəˈmɪliə(r)/","not known or recognized","The invitation had an address that I didn't know and the GPS was unfamiliar with it too.[cite: 1]","He found himself in unfamiliar surroundings.","The software was completely unfamiliar to me.","B2"
"AllEnglish::LEP::P55","reception","noun","uncountable","/rɪˈsepʃn/","the quality of the signal received by a television, radio, or mobile phone","It was in one of those areas where Google Maps doesn't work properly because of poor phone reception.[cite: 1]","I have terrible reception in my basement.","We couldn't make the call due to bad reception.","B2"
"AllEnglish::LEP::P55","old-fashioned","adjective","","/ˌəʊld ˈfæʃnd/","not modern; belonging to or typical of a time in the past","I had to use an old fashioned paper map.[cite: 1]","My grandfather has some very old-fashioned views.","She wore an old-fashioned dress to the party.","B1"
"AllEnglish::LEP::P55","head","verb","intransitive","/hed/","to move in a particular direction","I tried to get a sense of where I was headed, and set off in my car.[cite: 1]","We are heading to the beach for the weekend.","Where are you heading with all those bags?","B2"
"AllEnglish::LEP::P55","set off","phrasal verb","intransitive","/set ɒf/","to start a journey","I marked the location on the map, tried to get a sense of where I was headed, and set off in my car.[cite: 1]","We need to set off early to avoid the traffic.","They set off for the mountains at dawn.","B2"
"AllEnglish::LEP::P55","countryside","noun","uncountable","/ˈkʌntrisaɪd/","land not in towns, cities, or industrial areas","I started to notice how far I'd travelled into the countryside, away from civilization.[cite: 1]","They decided to move to the countryside for a quieter life.","The English countryside is beautiful in spring.","B1"
"AllEnglish::LEP::P55","civilization","noun","uncountable","/ˌsɪvəlaɪˈzeɪʃn/","human society with its well developed social organizations","I had travelled into the countryside, away from civilization.[cite: 1]","They felt like they were cut off from civilization.","Ancient civilizations built magnificent structures.","B2"
"AllEnglish::LEP::P55","venture","verb","intransitive","/ˈventʃə(r)/","to go somewhere that might be dangerous or unpleasant","I'd never ventured out so far in that direction before.[cite: 1]","He cautiously ventured into the dark room.","She rarely ventured outside the city limits.","C1"
"AllEnglish::LEP::P55","locate","verb","transitive","/ləʊˈkeɪt/","to find the exact position of somebody/something","I drove for quite a long time, trying to locate the address I had marked on the map.[cite: 1]","Police are still trying to locate the suspect.","Can you locate Paris on the map?","B2"
"AllEnglish::LEP::P55","layout","noun","countable","/ˈleɪaʊt/","the way in which the parts of something are arranged","I just had to try to match the layout of the streets, to the layout I could see on the map.[cite: 1]","I don't like the layout of this apartment.","The page layout was completely redesigned.","B2"
"AllEnglish::LEP::P55","spot","noun","countable","/spɒt/","a particular area or place","I was pretty sure this was the right spot, so I parked and got out of the car.[cite: 1]","This looks like a nice spot for a picnic.","He found a quiet spot to read his book.","B1"
"AllEnglish::LEP::P55","approach","verb","transitive/intransitive","/əˈprəʊtʃ/","to come near to somebody/something in distance or time","Approaching the house I noticed how dull and dreary it looked.[cite: 1]","The train is approaching the station.","Winter is fast approaching.","B2"
"AllEnglish::LEP::P55","dull","adjective","","/dʌl/","not bright or shiny; lacking interest or excitement","Approaching the house I noticed how dull and dreary it looked.[cite: 1]","The sky was a dull grey colour.","The lecture was incredibly dull.","B1"
"AllEnglish::LEP::P55","dreary","adjective","","/ˈdrɪəri/","making you feel sad; dull and not interesting","Approaching the house I noticed how dull and dreary it looked.[cite: 1]","It was a long, dreary journey.","She lived in a dreary little apartment.","C1"
"AllEnglish::LEP::P55","overgrown","adjective","","/ˌəʊvəˈɡrəʊn/","covered with plants that have grown thickly and in an uncontrolled way","It was completely covered in leaves, branches and overgrown trees.[cite: 1]","The garden was overgrown with weeds.","They found an overgrown path leading into the forest.","B2"
