#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","megaramble","noun","","/ˈmɛɡəˌræmbəl/","A long, rambling, and unstructured discussion or speech about a massive topic.","He recorded a two-hour megaramble about upcoming football tournaments.","The podcast episode turned into a football megaramble.","She listened to his late-night megaramble with amusement.","","C1"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","pipeline","noun","","/ˈpaɪpˌlaɪn/","A series of planned or upcoming projects, products, or events.","The teacher has a lot of episodes in the pipeline for next month.","There are several new features in the development pipeline.","Our company has a strong pipeline of creative content.","","B2"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","sneak preview","noun","","/sniːk ˈpriːvjuː/","An early look at something before it is officially released or made public.","He gave listeners a sneak preview of his travel diary from Vietnam.","The studio released a sneak preview of the upcoming film.","We caught a sneak preview of the new stadium design.","","B2"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","obliged","adjective","","/əˈblaɪdʒd/","Morally or legally bound to do something; feeling a duty to do so.","As an England fan, he felt obliged to talk about the national team.","She felt obliged to thank everyone for their support.","He was obliged by contract to finish the work on time.","","B2"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","saga","noun","","/ˈsɑːɡə/","A long, involved story, series of events, or historical account.","England's tournament history is a long-running saga of heartbreak.","The political saga finally came to an end after months of debate.","Fans followed the transfer saga throughout the entire summer.","","C1"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","blurry","adjective","","/ˈblɜːri/","Not clear, distinct, or sharply focused in memory or vision.","His childhood memories have become blurry over the years.","The photograph was too blurry to identify the suspects.","The line between work and personal life can get blurry.","","B2"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","thrashing","noun","","/ˈθræʃɪŋ/","A severe defeat in a game, match, or competition.","Germany inflicted a stunning 7-1 thrashing on host nation Brazil.","The team suffered a heavy thrashing away from home.","Fans were shocked by the unexpected thrashing.","","C1"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","blatant","adjective","","/ˈbleɪtənt/","Done openly and unashamedly; glaringly obvious and offensive.","It was a blatant goal by Lampard that was unfairly disallowed.","His lie was a blatant attempt to cover up his mistake.","The referee missed a blatant foul inside the penalty box.","","C1"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","sorrow","noun","","/ˈsɒroʊ/","A feeling of deep distress, sadness, or regret.","She experienced the deep sorrow of being an England fan.","The town was filled with sorrow after the tragic news.","He expressed his sorrow over the loss of his old friend.","","C2"
"AllEnglish::LEP::EP[BONUS]FIFAWORLDCUP2026PREVIEWMEGARAMBLE","hooligan","noun","","/ˈhuːlɪɡən/","A violent or aggressive troublemaker, often associated with sports crowds.","Football fans are sometimes unfairly stereotyped as drunken hooligans.","Police arrested several football hooligans after the riot.","Stadium security was tightened to keep out known hooligans.","","C1"
